OID_,ECOLSYS_LU,VALUE_1,VALUE_2,VALUE_3,VALUE_4,L3eco,NoThreat,LowThreat,MedThreat,HighThreat,AllThreat,Total,Percent
,North Pacific Broadleaf Landslide Forest and Shrubland,1034515800.000000000000000,2747700.000000000000000,1405800.000000000000000,4833000.000000000000000,01,103452.0000000,274.7699890,140.5800018,483.2999878,898.6500244,104351.0000000,0.8611800
,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,421069500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,42106.8984375,0.0000000,0.0000000,0.0000000,0.0000000,42106.8984375,0.0000000
,North Pacific Hypermaritime Sitka Spruce Forest,3445194600.000000000000000,24867000.000000000000000,10908900.000000000000000,38900700.000000000000000,01,344519.0000000,2486.6999512,1090.8900146,3890.0700684,7467.6601563,351987.0000000,2.1215701
,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,1055978100.000000000000000,2203200.000000000000000,869400.000000000000000,3048300.000000000000000,01,105598.0000000,220.3200073,86.9400024,304.8299866,612.0900269,106210.0000000,0.5763020
,North Pacific Lowland Mixed Hardwood-Conifer Forest and Woodland,2259030600.000000000000000,12902400.000000000000000,5217300.000000000000000,22536900.000000000000000,01,225903.0000000,1290.2399902,521.7299805,2253.6899414,4065.6599121,229969.0000000,1.7679200
,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,4046796000.000000000000000,4647600.000000000000000,1860300.000000000000000,4797000.000000000000000,01,404680.0000000,464.7600098,186.0299988,479.7000122,1130.4899902,405811.0000000,0.2785750
,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,8423541000.000000000000000,8556300.000000000000000,2871000.000000000000000,9216000.000000000000000,01,842354.0000000,855.6300049,287.1000061,921.5999756,2064.3300781,844418.0000000,0.2444680
,North Pacific Mesic Western Hemlock-Silver Fir Forest,1066833000.000000000000000,0.000000000000000,0.000000000000000,1800.000000000000000,01,106683.0000000,0.0000000,0.0000000,0.1800000,0.1800000,106683.0000000,0.0001687
,Mediterranean California Red Fir Forest,85622400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,8562.2402344,0.0000000,0.0000000,0.0000000,0.0000000,8562.2402344,0.0000000
,North Pacific Maritime Mesic Subalpine Parkland,61692300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,6169.2299805,0.0000000,0.0000000,0.0000000,0.0000000,6169.2299805,0.0000000
,North Pacific Mountain Hemlock Forest,198686700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,19868.6992188,0.0000000,0.0000000,0.0000000,0.0000000,19868.6992188,0.0000000
,Great Basin Pinyon-Juniper Woodland,67500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,6.7500000,0.0000000,0.0000000,0.0000000,0.0000000,6.7500000,0.0000000
,North Pacific Hardwood-Conifer Swamp,196581600.000000000000000,2108700.000000000000000,786600.000000000000000,2802600.000000000000000,01,19658.1992188,210.8699951,78.6600037,280.2600098,569.7899780,20228.0000000,2.8168399
,North Pacific Lowland Riparian Forest and Shrubland,2214150300.000000000000000,14154300.000000000000000,6352200.000000000000000,22424400.000000000000000,01,221415.0000000,1415.4300537,635.2199707,2242.4399414,4293.0898438,225708.0000000,1.9020500
,North Pacific Montane Riparian Woodland and Shrubland,22932000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,2293.1999512,0.0000000,0.0000000,0.0000000,0.0000000,2293.1999512,0.0000000
,North Pacific Shrub Swamp,93881700.000000000000000,3555900.000000000000000,1482300.000000000000000,5079600.000000000000000,01,9388.1699219,355.5899963,148.2299957,507.9599915,1011.7800293,10400.0000000,9.7286501
,California Central Valley Riparian Woodland and Shrubland,371700.000000000000000,5400.000000000000000,8100.000000000000000,31500.000000000000000,01,37.1699982,0.5400000,0.8100000,3.1500001,4.5000000,41.6699982,10.7990999
,Mediterranean California Foothill and Lower Montane Riparian Woodland,187475400.000000000000000,3452400.000000000000000,1920600.000000000000000,7698600.000000000000000,01,18747.5000000,345.2399902,192.0599976,769.8599854,1307.1600342,20054.6992188,6.5179701
,Mediterranean California Serpentine Foothill and Lower Montane Riparian Woodland and Seep,253800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,25.3799992,0.0000000,0.0000000,0.0000000,0.0000000,25.3799992,0.0000000
,North American Warm Desert Riparian Woodland and Shrubland,240300.000000000000000,0.000000000000000,0.000000000000000,900.000000000000000,01,24.0300007,0.0000000,0.0000000,0.0900000,0.0900000,24.1200008,0.3731340
,California Maritime Chaparral,270900.000000000000000,17100.000000000000000,9000.000000000000000,17100.000000000000000,01,27.0900002,1.7100000,0.9000000,1.7100000,4.3200002,31.4099998,13.7536001
,California Mesic Chaparral,4518900.000000000000000,15300.000000000000000,11700.000000000000000,10800.000000000000000,01,451.8900146,1.5300000,1.1700000,1.0800000,3.7800000,455.6700134,0.8295480
,California Xeric Serpentine Chaparral,13440600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,1344.0600586,0.0000000,0.0000000,0.0000000,0.0000000,1344.0600586,0.0000000
,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,138600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,13.8599997,0.0000000,0.0000000,0.0000000,0.0000000,13.8599997,0.0000000
,Mediterranean California Mesic Serpentine Woodland and Chaparral,91055700.000000000000000,153900.000000000000000,85500.000000000000000,192600.000000000000000,01,9105.5703125,15.3900003,8.5500002,19.2600002,43.2000008,9148.7695313,0.4721950
,Northern and Central California Dry-Mesic Chaparral,87488100.000000000000000,17100.000000000000000,45000.000000000000000,7200.000000000000000,01,8748.8095703,1.7100000,4.5000000,0.7200000,6.9299998,8755.7402344,0.0791481
,Southern California Dry-Mesic Chaparral,7520400.000000000000000,25200.000000000000000,13500.000000000000000,27900.000000000000000,01,752.0399780,2.5200000,1.3500000,2.7900000,6.6599998,758.7000122,0.8778170
,Southern California Coastal Scrub,294480000.000000000000000,3047400.000000000000000,2298600.000000000000000,4878900.000000000000000,01,29448.0000000,304.7399902,229.8600006,487.8900146,1022.4899902,30470.5000000,3.3556700
,California Central Valley and Southern Coastal Grassland,67918500.000000000000000,531000.000000000000000,586800.000000000000000,1242000.000000000000000,01,6791.8500977,53.0999985,58.6800003,124.1999969,235.9799957,7027.8300781,3.3577900
,California Mesic Serpentine Grassland,3600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,0.3600000,0.0000000,0.0000000,0.0000000,0.0000000,0.3600000,0.0000000
,North Pacific Alpine and Subalpine Dry Grassland,356400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,35.6399994,0.0000000,0.0000000,0.0000000,0.0000000,35.6399994,0.0000000
,North Pacific Montane Grassland,205200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,20.5200005,0.0000000,0.0000000,0.0000000,0.0000000,20.5200005,0.0000000
,North Pacific Montane Shrubland,33525900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,3352.5900879,0.0000000,0.0000000,0.0000000,0.0000000,3352.5900879,0.0000000
,California Northern Coastal Grassland,561559500.000000000000000,4980600.000000000000000,3605400.000000000000000,12293100.000000000000000,01,56155.8984375,498.0599976,360.5400085,1229.3100586,2087.9099121,58243.8007813,3.5847800
,North Pacific Herbaceous Bald and Bluff,65446200.000000000000000,45000.000000000000000,20700.000000000000000,42300.000000000000000,01,6544.6201172,4.5000000,2.0699999,4.2300000,10.8000002,6555.4199219,0.1647490
,North Pacific Hypermaritime Shrub and Herbaceous Headland,15317100.000000000000000,150300.000000000000000,64800.000000000000000,471600.000000000000000,01,1531.7099609,15.0299997,6.4800000,47.1599998,68.6699982,1600.3800049,4.2908602
,Willamette Valley Upland Prairie and Savanna,41830200.000000000000000,352800.000000000000000,97200.000000000000000,408600.000000000000000,01,4183.0200195,35.2799988,9.7200003,40.8600006,85.8600006,4268.8798828,2.0113001
,California Montane Woodland and Chaparral,35544600.000000000000000,61200.000000000000000,19800.000000000000000,326700.000000000000000,01,3554.4599609,6.1199999,1.9800000,32.6699982,40.7700005,3595.2299805,1.1339999
,North Pacific Coastal Cliff and Bluff,2761200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,276.1199951,0.0000000,0.0000000,0.0000000,0.0000000,276.1199951,0.0000000
,North Pacific Maritime Coastal Sand Dune and Strand,160115400.000000000000000,3551400.000000000000000,2271600.000000000000000,9860400.000000000000000,01,16011.5000000,355.1400146,227.1600037,986.0399780,1568.3399658,17579.8007813,8.9212599
,Northern California Coastal Scrub,85308300.000000000000000,863100.000000000000000,502200.000000000000000,1918800.000000000000000,01,8530.8300781,86.3099976,50.2200012,191.8800049,328.4100037,8859.2402344,3.7069800
,Mediterranean California Coastal Bluff,7200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,0.7200000,0.0000000,0.0000000,0.0000000,0.0000000,0.7200000,0.0000000
,Mediterranean California Northern Coastal Dune,27687600.000000000000000,189900.000000000000000,158400.000000000000000,404100.000000000000000,01,2768.7600098,18.9899998,15.8400002,40.4099998,75.2399979,2844.0000000,2.6455700
,Mediterranean California Serpentine Fen,6300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,0.6300000,0.0000000,0.0000000,0.0000000,0.0000000,0.6300000,0.0000000
,North Pacific Bog and Fen,15245100.000000000000000,292500.000000000000000,418500.000000000000000,392400.000000000000000,01,1524.5100098,29.2500000,41.8499985,39.2400017,110.3399963,1634.8499756,6.7492399
,North Pacific Avalanche Chute Shrubland,19642500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,1964.2500000,0.0000000,0.0000000,0.0000000,0.0000000,1964.2500000,0.0000000
,North Pacific Intertidal Freshwater Wetland,69605100.000000000000000,1422000.000000000000000,816300.000000000000000,1750500.000000000000000,01,6960.5097656,142.1999969,81.6299973,175.0500031,398.8800049,7359.3901367,5.4200101
,Temperate Pacific Freshwater Emergent Marsh,163553400.000000000000000,3838500.000000000000000,2002500.000000000000000,6930900.000000000000000,01,16355.2998047,383.8500061,200.2500000,693.0900269,1277.1899414,17632.5000000,7.2433901
,Temperate Pacific Freshwater Mudflat,32697900.000000000000000,248400.000000000000000,81000.000000000000000,333000.000000000000000,01,3269.7900391,24.8400002,8.1000004,33.2999992,66.2399979,3336.0300293,1.9855900
,Temperate Pacific Montane Wet Meadow,178200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,17.8199997,0.0000000,0.0000000,0.0000000,0.0000000,17.8199997,0.0000000
,Willamette Valley Wet Prairie,62217900.000000000000000,1318500.000000000000000,822600.000000000000000,3300300.000000000000000,01,6221.7900391,131.8500061,82.2600021,330.0299988,544.1400146,6765.9301758,8.0423498
,Temperate Pacific Tidal Salt and Brackish Marsh,125962200.000000000000000,3471300.000000000000000,1495800.000000000000000,5927400.000000000000000,01,12596.2001953,347.1300049,149.5800018,592.7399902,1089.4499512,13685.7001953,7.9604998
,Mojave Mid-Elevation Mixed Desert Scrub,100800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,10.0799999,0.0000000,0.0000000,0.0000000,0.0000000,10.0799999,0.0000000
,North American Warm Desert Active and Stabilized Dune,35100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,3.5100000,0.0000000,0.0000000,0.0000000,0.0000000,3.5100000,0.0000000
,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,922500.000000000000000,26100.000000000000000,58500.000000000000000,8100.000000000000000,01,92.2500000,2.6099999,5.8499999,0.8100000,9.2700005,101.5199966,9.1312103
,Sonora-Mojave Mixed Salt Desert Scrub,2700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,0.2700000,0.0000000,0.0000000,0.0000000,0.0000000,0.2700000,0.0000000
,Inter-Mountain Basins Mixed Salt Desert Scrub,2700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,0.2700000,0.0000000,0.0000000,0.0000000,0.0000000,0.2700000,0.0000000
,Inter-Mountain Basins Big Sagebrush Shrubland,10800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,1.0800000,0.0000000,0.0000000,0.0000000,0.0000000,1.0800000,0.0000000
,"North Pacific Dry and Mesic Alpine Dwarf-Shrubland, Fell-field and Meadow",218700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,21.8700008,0.0000000,0.0000000,0.0000000,0.0000000,21.8700008,0.0000000
,Temperate Pacific Intertidal Mudflat,7155900.000000000000000,48600.000000000000000,9900.000000000000000,97200.000000000000000,01,715.5900269,4.8600001,0.9900000,9.7200003,15.5699997,731.1599731,2.1294899
,Mediterranean California Eelgrass Bed,349200.000000000000000,8100.000000000000000,900.000000000000000,900.000000000000000,01,34.9199982,0.8100000,0.0900000,0.0900000,0.9900000,35.9099998,2.7568901
,North Pacific Maritime Eelgrass Bed,262800.000000000000000,23400.000000000000000,27900.000000000000000,0.000000000000000,01,26.2800007,2.3399999,2.7900000,0.0000000,5.1300001,31.4099998,16.3323994
,Temperate Pacific Freshwater Aquatic Bed,189000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,18.8999996,0.0000000,0.0000000,0.0000000,0.0000000,18.8999996,0.0000000
,Central California Coast Ranges Cliff and Canyon,23623200.000000000000000,117000.000000000000000,120600.000000000000000,202500.000000000000000,01,2362.3200684,11.6999998,12.0600004,20.2500000,44.0099983,2406.3300781,1.8289300
,Southern California Coast Ranges Cliff and Canyon,8100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,0.8100000,0.0000000,0.0000000,0.0000000,0.0000000,0.8100000,0.0000000
,"Rocky Mountain Cliff, Canyon and Massive Bedrock",175500.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,17.5499992,0.0000000,0.0000000,0.0000000,0.0000000,17.5499992,0.0000000
,Klamath-Siskiyou Cliff and Outcrop,1504800.000000000000000,0.000000000000000,0.000000000000000,4500.000000000000000,01,150.4799957,0.0000000,0.0000000,0.4500000,0.4500000,150.9299927,0.2981510
,"North Pacific Montane Massive Bedrock, Cliff and Talus",9621000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,962.0999756,0.0000000,0.0000000,0.0000000,0.0000000,962.0999756,0.0000000
,North Pacific Active Volcanic Rock and Cinder Land,4390200.000000000000000,759600.000000000000000,487800.000000000000000,2431800.000000000000000,01,439.0199890,75.9599991,48.7799988,243.1799927,367.9200134,806.9400024,45.5945015
,North American Warm Desert Bedrock Cliff and Outcrop,652500.000000000000000,1800.000000000000000,4500.000000000000000,3600.000000000000000,01,65.2500000,0.1800000,0.4500000,0.3600000,0.9900000,66.2399979,1.4945700
,North American Warm Desert Pavement,82800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,8.2799997,0.0000000,0.0000000,0.0000000,0.0000000,8.2799997,0.0000000
,Inter-Mountain Basins Shale Badland,149400.000000000000000,4500.000000000000000,4500.000000000000000,2700.000000000000000,01,14.9399996,0.4500000,0.4500000,0.2700000,1.1700000,16.1100006,7.2625699
,Unconsolidated Shore,33346800.000000000000000,58500.000000000000000,12600.000000000000000,47700.000000000000000,01,3334.6799316,5.8499999,1.2600000,4.7700000,11.8800001,3346.5600586,0.3549910
,North American Alpine Ice Field,155700.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,15.5699997,0.0000000,0.0000000,0.0000000,0.0000000,15.5699997,0.0000000
,Orchards Vineyards and Other High Structure Agriculture,26100.000000000000000,0.000000000000000,0.000000000000000,900.000000000000000,01,2.6099999,0.0000000,0.0000000,0.0900000,0.0900000,2.7000000,3.3333299
,Cultivated Cropland,170295300.000000000000000,3962700.000000000000000,1935000.000000000000000,7307100.000000000000000,01,17029.5000000,396.2699890,193.5000000,730.7100220,1320.4799805,18350.0000000,7.1960802
,Pasture/Hay,793047600.000000000000000,20925900.000000000000000,11659500.000000000000000,31611600.000000000000000,01,79304.7968750,2092.5900879,1165.9499512,3161.1599121,6419.7001953,85724.5000000,7.4887600
,Introduced Upland Vegetation - Annual Grassland,124689600.000000000000000,673200.000000000000000,342000.000000000000000,2652300.000000000000000,01,12469.0000000,67.3199997,34.2000008,265.2300110,366.7500000,12835.7998047,2.8572400
,Introduced Upland Vegetation - Shrub,27000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,01,2.7000000,0.0000000,0.0000000,0.0000000,0.0000000,2.7000000,0.0000000
,Introduced Upland Vegetation - Treed,17436600.000000000000000,306900.000000000000000,174600.000000000000000,711900.000000000000000,01,1743.6600342,30.6900005,17.4599991,71.1900024,119.3399963,1863.0000000,6.4057999
,"Disturbed, Non-specific",2305800.000000000000000,900.000000000000000,4500.000000000000000,12600.000000000000000,01,230.5800018,0.0900000,0.4500000,1.2600000,1.8000000,232.3800049,0.7745930
,Harvested Forest - Grass/Forb Regeneration,168912000.000000000000000,3572100.000000000000000,2144700.000000000000000,6761700.000000000000000,01,16891.1992188,357.2099915,214.4700012,676.1699829,1247.8499756,18139.0996094,6.8793402
,Harvested Forest-Shrub Regeneration,2369515500.000000000000000,8085600.000000000000000,3357900.000000000000000,6843600.000000000000000,01,236952.0000000,808.5599976,335.7900085,684.3599854,1828.7099609,238781.0000000,0.7658520
,Harvested Forest - Northwestern Conifer Regeneration,7630916400.000000000000000,16318800.000000000000000,6275700.000000000000000,13899600.000000000000000,01,763092.0000000,1631.8800049,627.5700073,1389.9599609,3649.4099121,766741.0000000,0.4759640
,Recently burned grassland,15655500.000000000000000,453600.000000000000000,265500.000000000000000,1406700.000000000000000,01,1565.5500488,45.3600006,26.5499992,140.6699982,212.5800018,1778.1300049,11.9553003
,Recently burned forest,48078000.000000000000000,46800.000000000000000,13500.000000000000000,18000.000000000000000,01,4807.7998047,4.6799998,1.3500000,1.8000000,7.8299999,4815.6298828,0.1625960
,Open Water (Brackish/Salt),96298200.000000000000000,234900.000000000000000,126000.000000000000000,338400.000000000000000,01,9629.8203125,23.4899998,12.6000004,33.8400002,69.9300003,9699.7500000,0.7209460
,Open Water (Fresh),330426000.000000000000000,1072800.000000000000000,646200.000000000000000,2538900.000000000000000,01,33042.6015625,107.2799988,64.6200027,253.8899994,425.7900085,33468.3984375,1.2722200
,"Quarries, Mines, Gravel Pits and Oil Wells",2604600.000000000000000,0.000000000000000,900.000000000000000,154800.000000000000000,01,260.4599915,0.0000000,0.0900000,15.4799995,15.5699997,276.0299988,5.6406898
,"Developed, Open Space",1738311300.000000000000000,17354700.000000000000000,10307700.000000000000000,47885400.000000000000000,01,173831.0000000,1735.4699707,1030.7700195,4788.5400391,7554.7797852,181386.0000000,4.1650300
,"Developed, Low Intensity",301992300.000000000000000,7839000.000000000000000,5268600.000000000000000,36204300.000000000000000,01,30199.1992188,783.9000244,526.8599854,3620.4299316,4931.1899414,35130.3984375,14.0368004
,"Developed, Medium Intensity",76084200.000000000000000,678600.000000000000000,555300.000000000000000,6163200.000000000000000,01,7608.4199219,67.8600006,55.5299988,616.3200073,739.7100220,8348.1298828,8.8607903
,"Developed, High Intensity",25491600.000000000000000,413100.000000000000000,155700.000000000000000,1515600.000000000000000,01,2549.1599121,41.3100014,15.5699997,151.5599976,208.4400024,2757.6000977,7.5587502
, ,12600.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43,1.2600000,0.0000000,0.0000000,0.0000000,0.0000000,1.2600000,0.0000000
,North-Central Interior Dry Oak Forest and Woodland,307800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43,30.7800007,0.0000000,0.0000000,0.0000000,0.0000000,30.7800007,0.0000000
,Eastern Great Plains Tallgrass Aspen Parkland,288900.000000000000000,0.000000000000000,0.000000000000000,1800.000000000000000,43,28.8899994,0.0000000,0.0000000,0.1800000,0.1800000,29.0699997,0.6191950
,Northwestern Great Plains Aspen Forest and Parkland,720900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43,72.0899963,0.0000000,0.0000000,0.0000000,0.0000000,72.0899963,0.0000000
,Northwestern Great Plains Shrubland,2529144000.000000000000000,1854900.000000000000000,885600.000000000000000,3322800.000000000000000,43,252914.0000000,185.4900055,88.5599976,332.2799988,606.3300171,253520.0000000,0.2391650
,Western Great Plains Dry Bur Oak Forest and Woodland,766992600.000000000000000,1506600.000000000000000,730800.000000000000000,2907000.000000000000000,43,76699.2968750,150.6600037,73.0800018,290.7000122,514.4400024,77213.7031250,0.6662550
,Western Great Plains Wooded Draw and Ravine,3649886100.000000000000000,4282200.000000000000000,1971000.000000000000000,10327500.000000000000000,43,364989.0000000,428.2200012,197.1000061,1032.7500000,1658.0699463,366647.0000000,0.4522250
,North-Central Interior Maple-Basswood Forest,5819400.000000000000000,24300.000000000000000,20700.000000000000000,92700.000000000000000,43,581.9400024,2.4300001,2.0699999,9.2700005,13.7700005,595.7100220,2.3115301
,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,535052700.000000000000000,429300.000000000000000,363600.000000000000000,659700.000000000000000,43,53505.3007813,42.9300003,36.3600006,65.9700012,145.2599945,53650.6015625,0.2707520
,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,89505000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43,8950.5000000,0.0000000,0.0000000,0.0000000,0.0000000,8950.5000000,0.0000000
,Northern Rocky Mountain Foothill Conifer Wooded Steppe,2234892600.000000000000000,740700.000000000000000,249300.000000000000000,743400.000000000000000,43,223489.0000000,74.0699997,24.9300003,74.3399963,173.3399963,223662.0000000,0.0775009
,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,153153900.000000000000000,81000.000000000000000,61200.000000000000000,90900.000000000000000,43,15315.4003906,8.1000004,6.1199999,9.0900002,23.3099995,15338.7001953,0.1519690
,Northwestern Great Plains - Black Hills Ponderosa Pine Woodland and Savanna,11372848200.000000000000000,6827400.000000000000000,3232800.000000000000000,13711500.000000000000000,43,1137280.0000000,682.7399902,323.2799988,1371.1500244,2377.1699219,1139660.0000000,0.2085860
,Rocky Mountain Foothill Limber Pine-Juniper Woodland,456357600.000000000000000,324900.000000000000000,160200.000000000000000,244800.000000000000000,43,45635.8007813,32.4900017,16.0200005,24.4799995,72.9899979,45708.8007813,0.1596850
,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,7632900.000000000000000,8100.000000000000000,1800.000000000000000,5400.000000000000000,43,763.2899780,0.8100000,0.1800000,0.5400000,1.5300000,764.8200073,0.2000470
,Northern Rocky Mountain Subalpine Woodland and Parkland,529200.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43,52.9199982,0.0000000,0.0000000,0.0000000,0.0000000,52.9199982,0.0000000
,Rocky Mountain Aspen Forest and Woodland,208765800.000000000000000,147600.000000000000000,91800.000000000000000,259200.000000000000000,43,20876.5996094,14.7600002,9.1800003,25.9200001,49.8600006,20926.5000000,0.2382620
,Rocky Mountain Lodgepole Pine Forest,165310200.000000000000000,18900.000000000000000,11700.000000000000000,43200.000000000000000,43,16531.0000000,1.8900000,1.1700000,4.3200002,7.3800001,16538.4003906,0.0446234
,Rocky Mountain Poor-Site Lodgepole Pine Forest,117900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,43,11.7900000,0.0000000,0.0000000,0.0000000,0.0000000,11.7900000,0.0000000
